Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1348,2450,45,На складе
Android. Программирование для профессионалов,Филлипс Билл и др.,Питер:Для профессионалов,1391,1783,22,Ограничено
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем,Карташов Борис Александрович и др.,ДМК-Пресс,993,1806,45,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,3094,5625,45,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,2187,3976,45,На складе
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,2554,4644,45,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,921,1674,45,Ограничено
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином:Основы информационных технологий,316,574,45,Ограничено
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1062,1455,27,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,2229,3054,27,На складе
Предметно-ориентированное проектирование. Самое основное,Вернон Вон,Диалектика,2372,4313,45,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,993,1806,45,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,501,911,45,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс:Библиотека профессионала,782,1421,45,Ограничено
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,1845,3354,45,На складе
Проектирование пользовательского интерфейса Android,Клифтон Ян,ДМК-Пресс,1419,2580,45,На складе
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,1165,1596,27,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,7590,13800,45,На складе
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,5037,9159,45,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,363,660,45,Ограничено
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),650,890,27,На складе
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1206,2192,45,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,2852,5186,45,На складе
Не заставляйте меня думать,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,856,1172,27,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1135,2064,45,На складе
