Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе 
Spring 5 для профессионалов,Шефер Крис и др.,Вильямс,6072,11040,45,На складе
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта,Джоши Пратик,Вильямс,3094,5625,45,На складе
"Основы машинного обучения для аналитического прогнозирования. Алгоритмы, рабочие примеры",Келлехер Джон Д. и др.,Вильямс,3982,7240,45,На складе
Разработка SCADA-систем. Учебное пособие,Кангин Владимир Венедиктович и др.,Инфра-Инженерия,1526,2774,45,На складе
Язык и среда программирования R. Учебное пособие,Золотарюк Анатолий Васильевич,ИНФРА-М:Высшее образование. Бакалавриат,799,1452,45,Ограничено
Прагматичный ИИ. Машинное обучение и облачные технологии,Гифт Ной,Питер:Для профессионалов,1563,2004,22,На складе
Язык программирования С++ (стандарт С++11). Краткий курс,Страуструп Бьерн,Бином,375,682,45,На складе
Внедрение Splunk 7,Миллер Джеймс,ДМК-Пресс,1845,3354,45,На складе
Java за 24 часа,Кейденхед Роджерс,Диалектика,1426,2592,45,На складе
Совершенный алгоритм. Основы,Рафгарден Тим,Питер:Библиотека программиста,1159,1486,22,На складе
Машинное обучение и TensorFlow,Шакла Нишант,Питер:Библиотека программиста,1502,1926,22,На складе
Дискретная математика. Учимся программировать в Wolfram Mathematica,"Фридман Григорий Морицович, Иванов О. А.",Питер:Учебник для вузов,931,1193,22,На складе
Современные технологии программирования: разработка Windows-приложений на языке С#. Том 1,Горелов Сергей Витальевич,Прометей,784,1426,45,На складе
Основы технологий баз данных. Учебное пособие,"Новиков Борис Асенович, Горшкова Екатерина Александровна",ДМК-Пресс,851,1547,45,На складе
Mathematica 5/6/7. Полное руководство,Дьяконов Владимир Павлович,ДМК-Пресс:Математика и Matlab,1277,2321,45,На складе
Git для профессионального программиста,"Чакон Скотт, Страуб Бен",Питер:Библиотека программиста,1428,1831,22,На складе
Простой Python просто с нуля,Гаско Рик,Солон-пресс:Программирование,668,1214,45,На складе
C++. Базовый курс,Шилдт Герберт,Вильямс,3094,5625,45,На складе
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1088,1978,45,На складе
Основы алгоритмизации и программирования (ОП.04). Практикум,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,589,Нет старого прайса,Нет скидки,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,1117,1530,27,На складе
"Компиляторы. Принципы, технологии и инструментарий",Ахо Альфред В. и др.,Диалектика,7128,12960,45,На складе
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,782,1421,45,На складе
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Высшее образование,588,1069,45,На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Среднее профессиональное образование,670,1219,45,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,1227,2230,45,На складе
Java. Эффективное программирование,Блох Джошуа,Вильямс,3982,7240,45,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,2536,3251,22,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2270,4127,45,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1419,2580,45,На складе
Эффективный и современный С++. 42 рекомендации по использованию C++11 и C++14,Мейерс Скотт,Диалектика,3094,5625,45,На складе
Изучаем регулярные выражения,Форта Бен,Вильямс,1141,2075,45,На складе
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Диалектика,2852,5186,45,На складе
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,2267,3487,35,На складе
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,1546,1982,22,На складе
Архитектура компьютера,"Таненбаум Эндрю, Остин Т.",Питер:Классика computer science,2028,2600,22,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,3612,6567,45,На складе
Выразительный JavaScript. Современное веб-программирование,Хавербеке Марейн,Питер:Для профессионалов,2015,2583,22,На складе
Грокаем глубокое обучение,Траск Эндрю,Питер:Библиотека программиста,1101,1411,22,На складе
Практика реактивного программирования в SPRING 5,"Докука Олег, Лозинский Игорь",ДМК-Пресс,2128,3869,45,На складе
Как программировать на С,"Дейтел Харви, Дейтел Пол Дж.",Бином,1115,2028,45,На складе
Нейросетевые методы в обработке естественного языка,Гольдберг Йоав,ДМК-Пресс,1702,3095,45,На складе
Предиктивное моделирование на практике,"Кун Макс, Джонсон Кьелл",Питер:Для профессионалов,2503,3209,22,На складе
Микросервисы. Паттерны разработки и рефакторинга,Ричардсон Крис,Питер:Библиотека программиста,1951,2501,22,На складе
"Системы счисления, алгоритмизация и программирование. Учебное пособие",Игнашева Елена Петровна,ИНФРА-М:Военное образование,1169,2126,45,Ограничено
Объектно-ориентированное программирование. Учебник,Барков Игорь Александрович,Лань:Учебники для вузов. Специальная литература,3244,5898,45,Ограничено
Практическое введение в программную инженерию. Учебное пособие,Волк Владимир Константинович,Лань:Учебники для вузов. Специальная литература,1002,1821,45,Ограничено
Проектирование цифровых устройств на ПЛИС. Учебное пособие,Ушенина Инна Владимировна,Лань:Учебники для вузов. Специальная литература,1576,2865,45,Ограничено
Введение в технологии контейнеров и Kubernetes,Маркелов Андрей Александрович,ДМК-Пресс,851,1547,45,На складе
Логическое проектирование и верификация систем на SystemVerilog,Дональд Томас,ДМК-Пресс,1419,2580,45,На складе
HTML5 и CSS3 для чайников,"Титтел Эд, Минник Крис","Диалектика:Для ""чайников""",1712,3112,45,На складе
C# для чайников,Мюллер Джон Пол и др.,"Диалектика:Для ""чайников""",2187,3976,45,На складе
Глубокое обучение. Готовые решения,Осинга Давид,Диалектика,761,1384,45,Ограничено
Изучаем TypeScript 3,Розенталс Натан,ДМК-Пресс,1986,3611,45,На складе
Введение в веб-разработку на языке JavaScript. Учебное пособие,Государев Илья Борисович,Лань:Учебники для вузов. Специальная литература,1188,2160,45,Ограничено
Программирование компьютерной графики,Боресков Алексей Викторович,ДМК-Пресс,1490,2709,45,На складе
Высокопроизводительный код на платформе .NET,Уотсон Бен,Питер:Для профессионалов,1978,2536,22,На складе
Совершенный алгоритм. Графовые алгоритмы и структуры данных,Рафгарден Тим,Питер:Библиотека программиста,1260,1615,22,На складе
{Вы не знаете JS} Асинхронная обработка и оптимизация,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1213,1555,22,На складе
{Вы не знаете JS} Замыкания и объекты,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1260,1616,22,На складе
{Вы не знаете JS} Типы и грамматические конструкции,Симпсон Кайл,Питер:Бестселлеры O`Reilly,1285,1647,22,На складе
Основы теории вейвлетов. Вейвлеты в Matlab,Смоленцев Николай Константинович,ДМК-Пресс:Все о вейвлетах,1419,2580,45,На складе
Изучаем React,Чиннатамби Кирупа,Бомбора:Мировой компьютерный бестселлер,1407,1928,27,На складе
Python для чайников,Мюллер Джон Пол,"Диалектика:Для ""чайников""",1856,3375,45,На складе
Изучение сложных систем с помощью Python,Дауни Аллен Б.,ДМК-Пресс,779,1417,45,На складе
Вероятностное программирование на Python. Байесовский вывод и алгоритмы,Дэвидсон-Пайлон Кэмерон,Питер:Библиотека программиста,1764,2262,22,На складе
JavaScript для чайников,"Минник Крис, Холланд Ева","Диалектика:Для ""чайников""",1547,2813,45,На складе
Легкий способ выучить Python 3,Шоу Зед А.,Бомбора:Мировой компьютерный бестселлер,880,1206,27,На складе
Jenkins 2. Приступаем к работе. Создайте свой конвейер развертывания для автоматизации следующего п.,Ластер Брент,ДМК-Пресс,1986,3611,45,На складе
Реактивное программирование на С++. Проектирование параллельных и асинхронных приложений с использов,"Пай Прасид, Абрахам Питер",ДМК-Пресс,1277,2321,45,На складе
Изображение квантовых процессов. Начальный курс квантовой теории и рассуждений на диаграммах,"Коке Боб, Киссинждер Алекс",ДМК-Пресс,3194,5807,45,На складе
Unreal Engine VR для разработчиков,Маккефри Митч,Бомбора:Мировой компьютерный бестселлер,1219,1670,27,На складе
Язык программирования Python. Практикум. Учебное пособие,Жуков Роман Александрович,ИНФРА-М:Высшее образование. Бакалавриат,1126,2048,45,На складе
Django 2 в примерах,Меле Антонио,ДМК-Пресс,1419,2580,45,На складе
Глубокое обучение без математики. Том 1. Основы,Гласснер Эндрю,ДМК-Пресс,2412,4386,45,На складе
Программирование в среде Lazarus. Учебное пособие,Гуриков Сергей Ростиславович,Форум:Среднее профессиональное образование,2231,4057,45,На складе
Введение в программную инженерию. Учебник,Антипов Владимир Анатольевич и др.,ИНФРА-М,1611,2929,45,Ограничено
Программирование и основы алгоритмизации.Теоретические основы и примеры реализации численных методов,"Затонский Андрей Владимирович, Бильфельд Николай Валентинович",РИОР:Высшее образование,820,1491,45,Ограничено
Программное обеспечение компьютерных сетей и web-серверов. Учебное пособие,Лисьев Григорий Авенирович и др.,ИНФРА-М:Среднее профессиональное образование,713,1296,45,На складе
Технологии параллельного программирования. Учебное пособие,"Лупин Сергей Андреевич, Посыпкин Михаил Анатольевич",Форум:Высшее образование,1005,1828,45,На складе
Глубокое обучение и TensorFlow для профессионалов. Математический подход к построению систем,Паттанаяк Сантану,Вильямс,2187,3976,45,На складе
Введение в анализ алгоритмов,Солтис Майкл,ДМК-Пресс,1277,2321,45,Ограничено
Практикум по решению задач на ЭВМ в среде Delphi. Учебное пособие,"Бунаков Павел Юрьевич, Лопатин А. К.",Форум:Среднее профессиональное образование,1811,3292,45,На складе
Анализ вредоносных программ,Монаппа К. А.,ДМК-Пресс,1419,2580,45,На складе
Java. Библиотека профессионала. Том 1. Основы,Хорстманн Кей С.,Диалектика,3919,7125,45,На складе
JavaScript. Карманный справочник,Флэнаган Дэвид,Диалектика,1165,2118,45,На складе
Искусство программирования. Том 3. Сортировка и поиск,Кнут Дональд Эрвин,Диалектика,5037,9159,45,На складе
Применение UML 2.0 и шаблонов проектирования,Ларман Крэг,Диалектика,5466,9938,45,На складе
Язык программирования C++. Краткий курс,Страуструп Бьярне,Диалектика,1547,2813,45,На складе
Численные методы и программирование. Учебное пособие,Колдаев Виктор Дмитриевич,Форум:Среднее профессиональное образование,1640,2981,45,На складе
Kafka Streams в действии. Приложения и микросервисы для работы в реальном времени,Беджек Билл,Питер:Для профессионалов,2058,2638,22,На складе
Микросервисы и контейнеры Docker,Кочер Парминдер Сингх,ДМК-Пресс,1277,2321,45,На складе
Биометрическая защита. Обзор технологии,Суомалайнен Антти,ДМК-Пресс,227,413,45,На складе
Легкий способ выучить Java,Пейн Брайсон,Бомбора:Мировой компьютерный бестселлер,1062,1455,27,На складе
Программирование в Erlang,"Томпсон Саймон, Чезарини Франческо",ДМК-Пресс:Функциональное программирование,993,1806,45,На складе
Искусство программирования. Том 2. Получисленные алгоритмы,Кнут Дональд Эрвин,Диалектика,4641,8438,45,На складе
Искусственный интеллект для чайников,"Мюллер Джон Пол, Массарон Лука","Диалектика:Для ""чайников""",1426,2592,45,На складе
Программная инженерия. Учебное пособие,Маран Микхель Михкелевич,Лань:Учебники для вузов. Специальная литература,1573,2860,45,На складе
Алгоритмы обработки текста. 125 задач с решениями,Крошемор Максим и др.,ДМК-Пресс,1419,2580,45,На складе
Аналитика в Power BI с помощью R и Python,Уэйд Райан,ДМК-Пресс,1845,3354,45,На складе
Программирование. Введение в профессию. Том 2. Системы и сети,Столяров Андрей Викторович,ДМК-Пресс,2128,3869,45,На складе
Программирование. Введение в профессию. Том 3. Парадигмы,Столяров Андрей Викторович,ДМК-Пресс,2128,3869,45,На складе
"Python, например",Лейси Никола,Питер:Библиотека программиста,1143,1466,22,На складе
"Изучаем SQL. Генерация, выборка и обработка данных",Болье Алан,Диалектика,2852,5186,45,На складе
Знакомство с программированием на языке Processing,"Риас Кейси, Фрай Бен",ДМК-Пресс,1064,1934,45,На складе
Принятие решений и феномен неопределенности. Учебное пособие,Клименко Игорь Семенович,Лань:Компьютеры и программное обеспечение,1208,2196,45,На складе
JavaScript для глубокого обучения. TensorFlow.js,Шолле Франсуа и др.,Питер:Библиотека программиста,3249,4166,22,На складе
Введение в язык Си++,Столяров Андрей Викторович,ДМК-Пресс,851,1547,45,На складе
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,709,1289,45,На складе
"Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512",Куссвюрм Даниэль,ДМК-Пресс,2341,4257,45,На складе
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений,Райс Лиз,Питер:Бестселлеры O`Reilly,2075,2660,22,На складе
Те же 10 вопросов через 20 лет. Офис и компьютер,Проскурин Сергей Павлович,Деловой двор,316,405,22,На складе
Программирование. Введение в профессию. Том 1. Азы программирования,Столяров Андрей Викторович,ДМК-Пресс,2128,3869,45,Ограничено
Имитационное моделирование процессов и систем в АПК. Учебное пособие,"Худякова Елена Викторовна, Липатов Алексей Александрович",Колос:Учебники и учебные пособия для студентов вузов,1491,2710,45,На складе
ВОСХОД программиста,Земцов А. Н.,Деловой двор:Хочу в СССР,920,1180,22,На складе
JavaScript с нуля,Чиннатамби Кирупа,Питер:Библиотека программиста,1416,1816,22,На складе
Наглядный CSS,Сидельников Грег,Питер:Библиотека программиста,1288,1651,22,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,4887,6266,22,На складе
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1824,3317,45,Ограничено
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО,Умрихин Евгений Дмитриевич,Лань:Компьютеры и программное обеспечение,1739,3162,45,На складе
Программирование.Сборник задач.СПО,"Батасова Валентина Сергеевна, Гречкина Полина Викторовна",Лань:Компьютеры и программное обеспечение,1074,1953,45,Ограничено
Математическое программирование.СПО,Ганичева Антонина Валериановна,Лань:Математика,754,1370,45,Ограничено
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64,Йо Ван Гуй,ДМК-Пресс,1560,2837,45,На складе
Обработка и представление данных в MS Excel. Учебное пособие,"Бурнаева Эльфия Гарифовна, Леора Светлана Николаевна",Лань:Компьютеры и программное обеспечение,717,1304,45,На складе
Вычисления в кольцах некоммутативных многочленов,Цирулик Владимир Григорьевич,Лань:Компьютеры и программное обеспечение,2086,3793,45,Ограничено
Парадигма программирования. Учебное пособие,Городняя Лидия Васильевна,Лань:Учебники для вузов. Специальная литература,1394,2534,45,Ограничено
ASP.NET Core 3 с примерами на C# для профессионалов,Фримен Адам,Вильямс,5702,10368,45,На складе
Защита данных. От авторизации до аудита,Андресс Джейсон,Питер:Для профессионалов,1416,1816,22,На складе
Создаем динамические веб-сайты на PHP,"Татро Кевин, Макинтайр Питер",Питер:Бестселлеры O`Reilly,2132,2733,22,На складе
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие,Алибеков Игорь Юсупович,Лань:Компьютеры и программное обеспечение,1128,2051,45,На складе
HTTP/2 в действии,Поллард Барри,ДМК-Пресс,1845,3354,45,На складе
Методика моделирования динамики октокоптера,Щекатуров Александр Михайлович,ДМК-Пресс,1135,2064,45,На складе
"Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое",Курт Уилл,Питер:Библиотека программиста,2560,3282,22,На складе
Python. Лучшие практики и инструменты,"Яворски Михаил, Зиаде Терек",Питер:Библиотека программиста,2560,3282,22,На складе
Вероятностное программирование. Учебное пособие,Колбин Вячеслав Викторович,Лань:Математика,1806,3283,45,Ограничено
C# 9.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1557,2830,45,На складе
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие,"Пащенко Федор Федорович, Кудинов Юрий Иванович",Лань:Компьютеры и программное обеспечение,2305,4191,45,На складе
Обработка естественного языка. Python и spaCy на практике,Васильев Юрий,Питер:Библиотека программиста,1424,1826,22,На складе
Python для финансовых расчетов,Хилпиш Ив,Диалектика:Самоучитель,7590,13800,45,Ограничено
Разработка и анализ компьютерных алгоритмов,Ахо Альфред В. и др.,Вильямс,2187,3976,45,На складе
Научное программирование на Python,Хилл Кристиан,ДМК-Пресс,2270,4127,45,На складе
C#. Алгоритмы и структуры данных (+CD). СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1495,2719,45,Ограничено
C#. Программирование 2D и 3D векторной графики (+CD). СПО,"Тюкачев Николай Аркадиевич, Хлебостроев Виктор Григорьевич",Лань:Компьютеры и программное обеспечение,1734,3152,45,На складе
Алгоритмизация и программирование. Практикум. СПО,Андрианова Анастасия Александровна,Лань:Компьютеры и программное обеспечение,1230,2237,45,На складе
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows,"Заяц Анатолий Моисеевич, Хабаров Сергей Петрович",Лань:Компьютеры и программное обеспечение,1371,2492,45,На складе
Построение распределенных систем на базе WebSocket. Учебное пособие,"Хабаров Сергей Петрович, Шилкина Мария Львовна",Лань:Компьютеры и программное обеспечение,1291,2348,45,Ограничено
Практическое введение в язык программирования Си. СПО,"Солдатенко Илья Сергеевич, Попов Иван Владимирович",Лань:Компьютеры и программное обеспечение,875,1591,45,На складе
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО,"Заяц Анатолий Моисеевич, Васильев Николай Павлович",Лань:Компьютеры и программное обеспечение,996,1811,45,Ограничено
Оформление программного кода,Столяров Андрей Викторович,ДМК-Пресс,822,1494,45,На складе
Простой Python для опытных программистов,Гаско Рик,Солон-пресс:Программирование,710,1290,45,На складе
Профессиональная разработка на Python,Уилкс Мэттью,ДМК-Пресс,2412,4386,45,На складе
Программируй & типизируй,Ришкуция Влад,Питер:Библиотека программиста,2053,2632,22,На складе
Основы Python. Научитесь мыслить как программист,Дауни Аллен Б.,"Манн, Иванов и Фербер",1234,1691,27,На складе
SimInTech. Преобразователи автономных источников электроэнергии,"Калачёв Ю. Н., Александров А. Г.",ДМК-Пресс,431,783,45,На складе
JavaScript. Готовые программы. Учебное пособие,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1043,1896,45,Ограничено
JavaScript. Готовые программы. СПО,Янцев Валерий Викторович,Лань:Компьютеры и программное обеспечение,1074,1953,45,На складе
TypeScript быстро,"Файн Яков, Моисеев Антон",Питер:Для профессионалов,2288,2933,22,На складе
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1,Фриск Валерий Владимирович и др.,Солон-пресс:Библиотека студента,852,1549,45,На складе
Управление памятью в .NET для профессионалов,Кокоса Конрад,ДМК-Пресс,2909,5289,45,На складе
Принципы разработки программных пакетов. Проектирование повторно используемых компонентов,Нобак Маттиас,ДМК-Пресс,1277,2321,45,На складе
Исследование операций и методы оптимизации. Учебное пособие,"Болотский Александр Владимирович, Кочеткова Ольга Анатольевна",Лань:Учебники для вузов. Специальная литература,391,710,45,На складе
Веб-компоненты в действии,Фаррелл Бен,ДМК-Пресс,1560,2837,45,На складе
Машинное обучение на R: экспертные техники для прогностического анализа,Ланц Бретт,Питер:Библиотека программиста,2669,3422,22,На складе
Head First. Изучаем Go,Макгаврен Джей,Питер:Head First (O'Reilly),2831,3629,22,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,1347,1727,22,На складе
Архитектура компьютерных систем. Курс лекций. Учебное пособие,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,811,1475,45,Ограничено
Разработка программных модулей программного обеспечения для компьютерных систем,Белугина Светлана Викторовна,Лань:Учебники для вузов. Специальная литература,1503,2733,45,Ограничено
Основы программирования информационного контента. Учебное пособие,"Быкадорова Елена Анатольевна, Синявская Оксана Николаевна",Лань:Учебники для вузов. Специальная литература,492,895,45,На складе
Численные методы. Учебник,Слабнов Виктор Дмитриевич,Лань:Учебники для вузов. Специальная литература,1967,3577,45,На складе
Введение в глубокое обучение,Черняк Евгений,Вильямс,1141,2075,45,На складе
Машинное обучение без лишних слов,Бурков Андрей,Питер:Библиотека программиста,1277,1637,22,На складе
Легкий способ выучить Python 3 еще глубже,Шоу Зед А.,Эксмо-Пресс:Мировой компьютерный бестселлер (обложка),880,1206,27,На складе
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие,"Бастрон Алевтина Алексеевна, Охапкина Елена Павловна",РГГУ,392,712,45,На складе
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ,Ефимова Елена Анатольевна,РГГУ,611,1110,45,На складе
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2795,5081,45,На складе
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование,Рафгарден Тим,Питер:Библиотека программиста,1385,1776,22,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1064,1934,45,На складе
Обучение с подкреплением,"Саттон Ричард С., Барто Эндрю Г.",ДМК-Пресс,2837,5159,45,На складе
Рекомендательные системы на практике,Фальк Ким,ДМК-Пресс,1419,2580,45,На складе
Flutter на практике. Прокачиваем навыки мобильной разработки с помощью открыт. фреймворка от Googlе,Заметти Франк,ДМК-Пресс,1277,2321,45,На складе
Java Concurrency на практике,Гетц Брайан и др.,Питер:Для профессионалов,1558,1998,22,На складе
C# 8.0. Карманный справочник,"Албахари Джозеф, Албахари Бен",Диалектика,1141,2075,45,На складе
Введение в информационный поиск,Маннинг Кристофер Д. и др.,Вильямс,4641,8438,45,На складе
Нейронные сети и глубокое обучение. Учебный курс,Аггарвал Чару,Вильямс,4641,8438,45,На складе
"Разработка веб-приложений с помощью Node.js, MongoDB и Angular. Исчерпывающее руководство",Дейли Брэд и др.,Вильямс,3612,6567,45,Ограничено
Разработка игр на Unity 2018 за 24 часа,Гейг Майк,Бомбора:Мировой компьютерный бестселлер,1772,2427,27,На складе
"R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации","Лонг Дж. Д., Титор Пол",ДМК-Пресс,2270,4127,45,На складе
Графовые алгоритмы. Практическая реализация на платформах  Apache Spark и Neo4j,"Нидхем Марк, Ходлер Эми",ДМК-Пресс,1419,2580,45,На складе
Функциональное программирование на С++. Как сделать свои программы изящными с помощью технологии фун,Чукич Иван,ДМК-Пресс,1419,2580,45,На складе
Теория автоматического управления (с использованием MATLAB-SIMULINK). Практикум. Учебное пособие,Пащенко Федор Федорович и др.,Лань:Учебники для вузов. Специальная литература,1410,2563,45,На складе
Python. Непрерывная интеграция и доставка,Ленц Мориц,ДМК-Пресс,779,1417,45,На складе
Программирование GPU при помощи Python и CUDA. Исследуйте высокопроизводительные параллельные вычисл,Тоуманнен Бриан,ДМК-Пресс,1277,2321,45,На складе
Разработка с использованием квантовых компьютеров,Силва Владимир,Питер:Библиотека программиста,1888,2421,22,На складе
"Изучаем Python. Программирование игр, визуализация данных, веб-приложения",Мэтиз Эрик,Питер:Библиотека программиста,1512,1938,22,На складе
Java. Библиотека профессионала. Том 2. Расширенные средства программирования,Хорстманн Кей С.,Вильямс,4641,8438,45,На складе
Изучаем Python. Том 2,Лутц Марк,Вильямс,3612,6567,45,На складе
Волшебство Kotlin,Симон Пьер-Ив,ДМК-Пресс,1845,3354,45,На складе
Методы и алгоритмы решения прикладных задач дискретной оптимизации. Учебное пособие,"Карпов Дмитрий Анатольевич, Струченков Валерий Иванович",Солон-пресс:Библиотека профессионала,502,913,45,Ограничено
Обработка естественного языка с TensorFlow,Ганегедара Тушан,ДМК-Пресс,1702,3095,45,На складе
Информационные системы и программирование. Администратор баз данных. Учебник,Логачев Максим Сергеевич,ИНФРА-М:Среднее профессиональное образование,2138,3888,45,На складе
Программное обеспечение компьютерных сетей. Учебное пособие,Исаченко Олег Вячеславович,ИНФРА-М:Среднее профессиональное образование,856,1556,45,На складе
Моделирование химико-технологических процессов. Принципы применения пакетов компютерн. математики,"Гартман Томаш Николаевич, Клушин Дмитрий Витальевич",Лань:Учебники для вузов. Специальная литература,2266,4120,45,На складе
Клиентские технологии веб-программирования: JavaScript и DOM,Диков Андрей Валентинович,Лань:Учебники для вузов. Специальная литература,938,1706,45,На складе
Основы глубокого обучения. Создание алгоритмов для искусственного интеллекта следующего поколения,Будума Нихиль,"Манн, Иванов и Фербер",1800,2466,27,На складе
Алгоритмы. Вводный курс,Кормен Томас,Вильямс,1547,2813,45,На складе
Программирование встроенных систем на С++ 17. Создание универсальных и надежных встроенных решений,Пошевай Майа,ДМК-Пресс,1419,2580,45,На складе
ELIXIR в действии,Юрич Саша,ДМК-Пресс,1702,3095,45,На складе
Глубокое обучение для поисковых систем,Теофили Томмазо,ДМК-Пресс,1419,2580,45,На складе
Введение в программирование на языке Visual Basic for Applications (VBA). Учебное пособие,Гуриков Сергей Ростиславович,ИНФРА-М:Высшее образование. Бакалавриат,1854,3370,45,На складе
HTML и CSS. Разработка и дизайн веб-сайтов,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1818,2491,27,На складе
Байесовский анализ на Python,Мартин Освальдо,ДМК-Пресс,1277,2321,45,На складе
